feature,target
 trường hiện tại có nhận sinh viên mới không ạ,Các hình thức xét tuyển vào khoa
 chương trình [dseb](nganh_hoc) có những hình thức xét tuyển nào,Các hình thức xét tuyển vào khoa
 khoa mình có những hình thức tuyển sinh nào,Các hình thức xét tuyển vào khoa
 hình thức tuyển sinh,Các hình thức xét tuyển vào khoa
 xét tuyển,Các hình thức xét tuyển vào khoa
 em muốn vào học tại khoa thì có cách nào không,Các hình thức xét tuyển vào khoa
 bộ môn [dseb](nganh_hoc) có những cách tuyển sinh nào,Các hình thức xét tuyển vào khoa
 làm cách nào để vào được các chương trình [data science](nganh_hoc),Các hình thức xét tuyển vào khoa
 chuyên ngành [actuary](nganh_hoc) của khoa truyển sinh bằng cách nào,Các hình thức xét tuyển vào khoa
 khoa tuyển sinh chương trình [tkt](nganh_hoc) bằng các hình thức nào,Các hình thức xét tuyển vào khoa
 có thể chuyển từ chương trình khác trong trường ktqd sang chương trình [quản trị rủi ro](nganh_hoc) của khoa toán không,Các hình thức xét tuyển vào khoa
 các chương trình văn bằng 2 của khoa,Xét tuyển Văn bằng 2
 em hiện đang học ngành trong trường thì có được học thêm văn bằng 2 khoa mình không ạ,Xét tuyển Văn bằng 2
 khoa có mở chương trình văn bằng 2 không ạ,Xét tuyển Văn bằng 2
 em có thể đăng kí học thêm 1 văn bằng trong khoa không ạ,Xét tuyển Văn bằng 2
 văn bằng 2,Xét tuyển Văn bằng 2
" em có thể theo học chuyên ngành khác tại đh ktqd, sau đó học bằng 2 [actuary](nganh_hoc) được không",Xét tuyển Văn bằng 2
 chuyên ngành [ds](nganh_hoc) có cho phép sinh viên học văn bằng 2 không vậy,Xét tuyển Văn bằng 2
 chuyên ngành [dseb](nganh_hoc) có cho phép sinh viên học văn bằng 2 không ạ,Xét tuyển Văn bằng 2
 chương trình [toán kt](nganh_hoc) có tuyển sinh sinh viên học văn bằng 2 không ạ,Xét tuyển Văn bằng 2
 chương trình [định phí bảo hỉểm](nganh_hoc) có tuyển sinh sinh viên văn bằng 2 không ạ,Xét tuyển Văn bằng 2
 học phí,Học phí / kỳ sinh viên __
 học phí mỗi một kỳ của chuyên ngành [toán kt](nganh_hoc) là bao nhiêu,Học phí / kỳ sinh viên __
 học phí của chuyên ngành [data science](nganh_hoc) là bao nhiêu mỗi kỳ,Học phí / kỳ sinh viên __
 học phí chuyên ngành [dseb](nganh_hoc) được tính như thế nào ạ,Học phí / kỳ sinh viên __
 học phí chuyên ngành [tkt](nganh_hoc) bao nhiêu/kỳ ạ,Học phí / kỳ sinh viên __
 học phí chuyên ngành [tkt](nganh_hoc) có tăng theo cấp số nhân không ạ,Học phí / kỳ sinh viên __
 mức học phí khi theo học chương trình [tkt](nganh_hoc) là bao nhiêu,Học phí / kỳ sinh viên __
 mỗi kỳ chuyên ngành [toán kinh tế](nganh_hoc) phải đóng bao nhiêu tiền vậy,Học phí / kỳ sinh viên __
 học phí [toán kinh tế](nganh_hoc) có đắt không ạ,Học phí / kỳ sinh viên __
 lương,Lương sinh viên tốt nghiệp__
 sinh viên [toán kt](nganh_hoc) có giàu không,Lương sinh viên tốt nghiệp__
 sau này sinh viên ngành [toán kt](nganh_hoc) có kiếm được nhiều tiền không,Lương sinh viên tốt nghiệp__
 học [toán kt](nganh_hoc) xong lương có cao ko ạ,Lương sinh viên tốt nghiệp__
 lương sau khi học [ds](nganh_hoc) xong có cao ko ạ,Lương sinh viên tốt nghiệp__
 thu nhập sau khi ra trường của một sinh viên [tkt](nganh_hoc) là bao nhiêu,Lương sinh viên tốt nghiệp__
 lương sinh viên [toán kt](nganh_hoc) sau khi ra trường có đủ ăn không,Lương sinh viên tốt nghiệp__
 sinh viên tốt nghiệp [actuary](nganh_hoc) có lương khởi điểm là bao nhiêu,Lương sinh viên tốt nghiệp__
 học chuyên ngành [đpbhqtrr](nganh_hoc) sau này lương có cao ko,Lương sinh viên tốt nghiệp__
 lương sinh viên tốt nghiệp chuyên ngànhh [ds](nganh_hoc) là bao nhiêu,Lương sinh viên tốt nghiệp__
 mức lương khởi điểm cho 1 fresher chuyên ngành [định phí bảo hỉểm](nganh_hoc) là bao nhiêu ạ,Lương sinh viên tốt nghiệp__
 nơi làm việc,Nơi làm việc của sinh viên tốt nghiệp __
 nơi làm việc của sinh viên [toán kinh tế](nganh_hoc),Nơi làm việc của sinh viên tốt nghiệp __
 sinh viên [toán kinh tế](nganh_hoc) đi làm ở đâu,Nơi làm việc của sinh viên tốt nghiệp __
 những cơ quan nào nhận học sinh ngành [toán kinh tế](nganh_hoc),Nơi làm việc của sinh viên tốt nghiệp __
 sinh viên [toán kinh tế](nganh_hoc) sau khi ra trường có thể làm ở đâu,Nơi làm việc của sinh viên tốt nghiệp __
 sinh viên [toán kinh tế](nganh_hoc) có thể làm ở những nơi nào sau khi ra trường,Nơi làm việc của sinh viên tốt nghiệp __
 sinh viên [định phí bảo hỉểm](nganh_hoc) làm ở đâu sau khi ra trường,Nơi làm việc của sinh viên tốt nghiệp __
 những nơi mà sinh viên tốt nghiệp chuyên ngành [đpbhqtrr](nganh_hoc) có thể làm sau khi ra trường là gì,Nơi làm việc của sinh viên tốt nghiệp __
" sinh viên tốt nghiệp chuyên ngành [ds](nganh_hoc) có thể làm ở nhưng công ty, cơ quan nào nào",Nơi làm việc của sinh viên tốt nghiệp __
 những công ty mà [toán kinh tế](nganh_hoc) có thể làm sau khi ra trường là gì,Nơi làm việc của sinh viên tốt nghiệp __
 ra trường em có thể làm ở những vị trí nào ạ,Nơi làm việc của sinh viên tốt nghiệp __
 em có thể thực tập ở những đâu sau khi ra trường,Nơi làm việc của sinh viên tốt nghiệp __
 sau này sinh viên [toán kinh tế](nganh_hoc) làm việc ở đâu,Nơi làm việc của sinh viên tốt nghiệp __
 công việc sau khi ra trường,Công việc sau khi ra trường
 các việc làm sau khi ra trường cúa sinh viên ngành [ds](nganh_hoc),Công việc sau khi ra trường
 sinh viên học ngành [ds](nganh_hoc) thì sẽ sẽ làm gì sau khi ra trường,Công việc sau khi ra trường
" sau khi ra trường, sinh viên [ds](nganh_hoc) sẽ làm để sống",Công việc sau khi ra trường
 học xong chương trình [ds](nganh_hoc) có cơ hội làm việc gì,Công việc sau khi ra trường
 học ngành [toán kinh tế](nganh_hoc) ra trường làm gì,Công việc sau khi ra trường
 học ngành [data science](nganh_hoc) ra trường làm nghề gù,Công việc sau khi ra trường
 học ngành [dseb](nganh_hoc) thì phù hợp với ngành nghề gì,Công việc sau khi ra trường
 nghề gì phù hợp với người học ngành [định phí bảo hỉểm](nganh_hoc),Công việc sau khi ra trường
 các vị trí nghề nghiệp sau này của ngành [data science](nganh_hoc) là gì ạ,Công việc sau khi ra trường
Em muốn biết là học ngành __ ra có dễ xin việc không ạ?,Cơ hội việc
Học ngành __ xong có dễ xin việc ko?,Cơ hội việc
Nhu cầu sinh viên học ngành __ có cao không?,Cơ hội việc
Sau khi học xong ngành __ có dễ kiếm được việc làm không?,Cơ hội việc
Cơ hội nghề nghiệp của ngành __ này như thế nào ạ?,Cơ hội việc
Học xong ngành __ có dễ kiếm được việc không?,Cơ hội việc
Học xong ngành __ có dễ xin việc không?,Cơ hội việc
cơ hội làm việc của ngành __ sau này là như thế nào ạ?,Cơ hội việc
 khoa có nhiều thầy không,Số lượng các thầy cô
 ở trong khoa có nhiều cô không,Số lượng các thầy cô
 ở khoa có ít thầy cô không,Số lượng các thầy cô
 ở khoa toán kinh tế có nhiều thầy cô không nhỉ,Số lượng các thầy cô
 danh sách các thầy cô,Số lượng các thầy cô
 số lượng thầy cô trong khoa,Số lượng các thầy cô
 trong khoa có bao nhiêu thầy cô,Số lượng các thầy cô
 tính cách của các thầy cô,Cảm nhận về thầy cô
 thầy cô có dễ quí không,Cảm nhận về thầy cô
 cảm nhận về thầy cô,Cảm nhận về thầy cô
 thầy cô có hiền không,Cảm nhận về thầy cô
 thầy cô khoa mình như thế nào,Cảm nhận về thầy cô
 thầy cô trong khoa có nhiệt tình không,Cảm nhận về thầy cô
 anh chị nhận xét thế nào về giáo viên trong khoa,Cảm nhận về thầy cô
 bạn nhận xét sao về thầy cô trong khoa,Cảm nhận về thầy cô
 các thầy cô có ghe lắm ko,Cảm nhận về thầy cô
 môi trường học tập khác gì các cấp dưới,Thầy cô đại học khác gì cấp 3
 thầy cô khác gì cấp 3 không,Thầy cô đại học khác gì cấp 3
 cách giảng dạy của thầy cô có khác gì cấp 3,Thầy cô đại học khác gì cấp 3
 giáo viên cấp thpt có gì khác so với giào viên đại học,Thầy cô đại học khác gì cấp 3
 thầy cô trong khoa có giống như cấp 3 không,Thầy cô đại học khác gì cấp 3
 giáo viên đại học có giống như cấp 3 không,Thầy cô đại học khác gì cấp 3
 em thi môn [văn](mon) thì có thể học tại khoa không ạ,Loại tổ hợp xét tuyển
" em học theo tổ hợp [toán](mon), [hóa](mon) , [sinh](mon) thì có thể thi vào khoa không ạ",Loại tổ hợp xét tuyển
